,Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_name,Test_parametrization,flaky?,Verdicts_sameOrder,Passed_sameOrder,Failed_sameOrder,Error_sameOrder,Skipped_sameOrder,numRuns_sameOrder,Verdicts_randomOrder,Passed_randomOrder,Failed_randomOrder,Error_randomOrder,Skipped_randomOrder,numRuns_randomOrder,Flaky_sameOrder_withinIteration,Flaky_randomOrder_withinIteration,Verdict_sameOrder,Verdict_randomOrder,Order-dependent,Flaky_Infrastructure,Test_nodeid,Test_nodeid_inclPara
25,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_multi_nli.TestMultiNLI,test_preprocess,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_multi_nli.py::TestMultiNLI::test_preprocess,tests/test_multi_nli.py::TestMultiNLI::test_preprocess
26,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_multi_nli.TestMultiNLI,test_tokenize,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_multi_nli.py::TestMultiNLI::test_tokenize,tests/test_multi_nli.py::TestMultiNLI::test_tokenize
27,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_newsgroup20.TestNewsGroup20,test_extract,,non-order-dependent,"{'Passed', 'Failed'}",158,22,0,0,180.0,set(),0,0,0,0,0.0,True,False,Flaky,ZeroRuns,False,False,tests/test_newsgroup20.py::TestNewsGroup20::test_extract,tests/test_newsgroup20.py::TestNewsGroup20::test_extract
28,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_newsgroup20.TestNewsGroup20,test_parse,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_newsgroup20.py::TestNewsGroup20::test_parse,tests/test_newsgroup20.py::TestNewsGroup20::test_parse
29,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_ptb.TestPTB,test_extract,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_ptb.py::TestPTB::test_extract,tests/test_ptb.py::TestPTB::test_extract
30,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_ptb.TestPTB,test_tokenize,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_ptb.py::TestPTB::test_tokenize,tests/test_ptb.py::TestPTB::test_tokenize
31,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_resource.TestResource,test_read_resource,,not flaky,{'Failed'},0,180,0,0,180.0,set(),0,0,0,0,0.0,False,False,Failed,ZeroRuns,False,False,tests/test_resource.py::TestResource::test_read_resource,tests/test_resource.py::TestResource::test_read_resource
32,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_resource.TestResource,test_to_batch,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_resource.py::TestResource::test_to_batch,tests/test_resource.py::TestResource::test_to_batch
33,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_resource.TestResource,test_to_batch_iter,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_resource.py::TestResource::test_to_batch_iter,tests/test_resource.py::TestResource::test_to_batch_iter
34,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_resource.TestResource,test_to_pandas,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_resource.py::TestResource::test_to_pandas,tests/test_resource.py::TestResource::test_to_pandas
35,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_reuters_news.TestReutersNews,test_industries,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_reuters_news.py::TestReutersNews::test_industries,tests/test_reuters_news.py::TestReutersNews::test_industries
